Date,M3,CPI,GIP,Crude Oil price,REER,Interest rate,div yield,Return(%)
2018-12,134.8108,5.244755,2.6,3653.3264,98.41,6.75,1.23,-0.13
2018-11,133.79,4.861111,0.2,4078.704,97.65,6.75,1.25,4.72
2018-10,132.5771,5.226481,8.4,5609.1264,94.60,6.75,1.29,-4.98
2018-09,131.7674,5.614035,4.6,5892.8877,95.71,6.75,1.19,-6.42
2018-08,130.8387,5.614035,4.8,5415.55135,99.74,6.75,1.17,2.85
2018-07,129.6466,5.614035,6.5,5059.8786,99.83,6.50,1.2,5.99
2018-06,128.8645,3.928571,7,5231.7132,99.06,6.50,1.23,-0.2
2018-05,127.9901,3.956835,3.8,"5,106.47",98.04,6.25,1.21,-0.03
2018-04,126.8122,3.971119,4.5,"4,516.93",98.55,6.25,1.22,6.19
2018-03,125.6895,4.363636,5.3,"4,171.72",98.90,6.25,1.26,-3.61
2018-02,124.7564,4.744525,6.9,"4,085.16",99.67,6.25,1.08,-4.85
2018-01,123.8216,5.109489,7.5,"4,215.16",102.74,6.25,1.05,4.72
2017-12,122.8887,4,7.3,"3,930.99",104.27,6.25,1.10,2.97
2017-11,122.2668,3.971119,8.5,"3,887.81",104.43,6.25,1.08,-1.05
2017-10,121.0234,3.23741,1.8,"3,574.53",102.99,6.25,1.12,5.59
2017-09,119.2442,2.888087,4.1,"3,413.19",102.48,6.25,0.95,-1.3
2017-08,118.535,2.517986,4.8,"3,194.46",104.59,6.25,0.96,-1.58
2017-07,118.0385,1.785714,1,"3,071.23",104.36,6.50,1.05,5.84
2017-06,117.4433,1.083032,-0.3,"2,975.01",103.30,6.50,1.15,-1.04
2017-05,116.5616,1.090909,2.9,"3,213.83",103.67,6.50,1.22,3.41
2017-04,117.1298,2.214022,3.2,"3,365.04",104.11,6.50,1.25,1.42
2017-03,116.216,2.61194,4.4,"3,355.09",102.53,6.75,1.23,3.31
2017-02,113.2879,2.621723,1.2,"3,647.03",100.72,6.75,1.25,3.72
2017-01,112.252,1.858736,3.5,"3,649.89",99.92,6.75,1.32,4.59
2016-12,113.1645,2.230483,2.4,"3,572.84",101.01,6.75,1.36,-0.47
2016-11,114.4473,2.592592,5.1,"3,056.29",100.69,6.75,1.34,-4.65
2016-10,113.9786,3.345725,4.2,"3,290.46",100.60,6.75,1.28,0.17
2016-09,112.9333,4.135338,5,"3,006.05",99.35,7.00,1,-1.99
2016-08,111.6638,5.30303,4,"3,004.16",99.30,7.00,1.25,1.71
2016-07,110.2634,6.463878,4.5,"2,966.28",99.77,7.00,1.24,4.23
2016-06,109.3151,6.130268,8,"3,208.66",98.28,7.00,1.28,1.56
2016-05,109.3104,6.589147,7.3,"3,072.75",97.65,7.00,1.37,3.95
2016-04,108.4104,5.859375,6,"2,708.63",96.79,7.00,1.42,1.44
2016-03,107.2807,5.511811,5.2,"2,503.95",96.59,7.75,1.53,10.75
2016-02,106.6381,5.533597,7.2,"2,117.58",95.86,7.75,1.61,-7.62
2016-01,105.6285,5.905512,4,"2,004.00",98.83,7.75,1.54,-4.82
2015-12,104.636,6.324111,3.1,"2,435.40",98.50,7.75,1.47,0.14
2015-11,103.5811,6.719368,0.8,"2,847.43",99.14,7.75,1.44,-1.62
2015-10,102.7561,6.324111,9,"3,055.95",98.89,7.75,1.39,1.47
2015-09,102.1573,5.13834,2.2,"3,064.43",97.26,8.25,1.51,-0.28
2015-08,101.3252,4.347826,3.7,"2,973.16",98.09,8.25,1.44,-6.58
2015-07,100.6861,4.365079,1.3,"3,458.51",98.28,8.25,1.43,1.96
2015-06,99.84487,6.097561,1,"3,915.30",96.59,8.25,1.45,-0.77
2015-05,98.57868,5.737705,1.8,"3,988.78",95.24,8.50,1.43,3.08
2015-04,97.81893,5.785124,0.7,"3,611.03",97.17,8.50,1.30,-3.65
2015-03,97.02438,6.276151,2.4,"3,299.23",97.81,8.50,1.27,-4.62
2015-02,96.15666,6.302521,3,"3,398.51",97.02,8.75,1.23,1.06
2015-01,95.43456,7.172996,1.8,"2,927.20",96.37,8.75,1.24,6.35
2014-12,94.74309,5.85774,4,"3,806.55",93.34,9.00,1.27,-3.56
2014-11,93.98776,4.115226,7.4,"4,748.53",94.21,9.00,1.26,3.2
2014-10,92.89429,4.979253,0.3,"5,280.84",93.28,9.00,1.33,4.49
2014-09,91.92004,6.302521,4.3,"5,835.69",93.14,9.00,1.27,0.13
2014-08,91.09347,6.751055,3.5,"6,092.56",92.41,9.00,1.30,3.02
2014-07,90.13514,7.234043,5.4,"6,320.51",92.37,9.00,1.28,1.44
2014-06,89.3116,6.493506,8.3,"6,471.05",91.01,9.00,1.29,5.28
2014-05,88.67983,7.017544,4.7,"6,273.13",90.77,9.00,1.36,7.97
2014-04,87.79392,7.079646,3.9,"6,329.60",88.90,9.00,1.36,-0.12
2014-03,86.9819,6.696429,2.9,"6,343.00",87.59,9.00,1.44,6.81
2014-02,86.46075,6.726458,5.2,"6,529.28",85.67,9.00,1.54,3.08
2014-01,85.74197,7.239819,4.8,"6,344.00",86.16,9.00,1.51,-3.4
2013-12,84.97424,9.132421,3.5,"6,534.28",86.81,8.75,1.50,2.07
2013-11,83.69793,11.46789,3.7,"6,435.78",87.34,8.75,1.51,-1.95
2013-10,82.46393,11.05991,1.9,"6,497.77",87.10,8.75,1.51,9.83
2013-09,81.55841,10.69767,6.8,"6,926.83",84.11,9.50,1.49,4.82
2013-08,80.67558,10.74766,4.4,"6,836.67",84.83,10.25,1.53,-4.71
2013-07,80.4289,10.84906,3.2,"6,292.38",88.97,10.25,1.40,-1.72
2013-06,79.79736,11.05769,-1,"5,817.69",89.18,8.25,1.44,-2.4
2013-05,78.24915,10.67961,1,"5,468.66",93.15,8.25,1.37,0.94
2013-04,77.27904,10.2439,3.3,"5,375.04",93.43,8.50,1.46,4.36
2013-03,76.4685,11.44279,3.5,"5,575.84",92.93,8.50,1.43,-0.18
2013-02,75.50531,12.0603,0.6,"5,784.94",92.87,8.75,1.40,-5.66
2013-01,74.86604,11.61616,2.5,"5,708.32",91.65,9.00,1.37,2.2
2012-12,74.17709,11.16751,-0.6,"5,526.62",92.05,9.00,1.40,0.43
2012-11,73.4882,9.547739,-1,"5,536.01",92.60,9.00,1.44,4.63
2012-10,72.80526,9.59596,8.4,"5,476.43",95.09,9.00,1.42,-1.47
2012-09,72.33672,9.137055,-0.7,"5,798.48",93.33,9.00,1.51,8.46
2012-08,71.69178,10.30928,2,"5,848.75",92.41,9.00,1.53,0.56
2012-07,71.29208,9.84456,-0.1,"5,372.19",92.67,9.00,1.53,-0.95
2012-06,70.32758,10.05291,-2,"5,083.60",90.83,9.00,1.58,7.2
2012-05,68.91785,10.16043,2.5,"5,655.94",91.79,9.00,1.61,-6.17
2012-04,68.09089,10.21505,-1.3,"5,888.49",95.02,9.00,1.52,-0.9
2012-03,67.42928,8.648648,-2.8,"5,927.55",96.40,9.50,1.50,-1.66
2012-02,66.89743,7.567567,4.3,"5,540.26",97.79,9.50,1.46,3.58
2012-01,66.79623,5.319149,1,"5,484.92",95.07,6.00,1.56,12.43
